Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",CE,Civil Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",CS,Computer Science and Engineering,116.0,0.0,106.5,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",EC,Electronics and Communication Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",EE,Electrical and Electronics Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",IT,Information Technology,98.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",ME,Mechanical Engineering,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR",CE,Civil Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR",CS,Computer Science and Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR",EC,Electronics and Communication Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR",EE,Electrical and Electronics Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR",ME,Mechanical Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",AE,Aeronautical Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",CE,Civil Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",CS,Computer Science and Engineering,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
