Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,0,0,0,0,0,0,0,0,0
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,0,0,0,0,0,0,0,0,0
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",ME,MECHANICAL ENGINEERING,0,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",AE,AERONAUTICAL ENGINEERING,144800,0,0,0,0,0,191075,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),112088,177775,0,180278,0,0,176455,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,173213,0,0,0,0,0,188577,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",CE,CIVIL  ENGINEERING,0,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",CO,COMPUTER AND  COMMUNICATION ENGINEERING,0,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",CS,COMPUTER SCIENCE AND ENGINEERING,130661,178443,0,163675,0,0,0,189860,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,123147,180959,0,0,0,0,190678,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,0,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,182474,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",IT,INFORMATION TECHNOLOGY,148500,0,0,0,0,0,0,183203,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",ME,MECHANICAL ENGINEERING,195815,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",RM,ROBOTICS AND AUTOMATION,0,0,0,0,0,0,0,0,0
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TX,TEXTILE TECHNOLOGY,0,0,0,0,0,0,0,0,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",CS,COMPUTER SCIENCE AND ENGINEERING,195779,0,0,0,0,0,0,0,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,0,0,0,0,0,0,0,0,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,0,0,0,0,0,0,0,0,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",FD,FOOD TECHNOLOGY,0,0,0,0,0,0,0,0,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",ME,MECHANICAL ENGINEERING,0,0,0,0,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",AD,Artificial Intelligence and Data Science,98888,125364,161950,130728,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),112846,142024,181783,160265,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",BT,BIO TECHNOLOGY,0,0,0,0,0,0,0,0,0
